1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0.9842675	0.9840261	0.9833866	0.9831393	0.9821628	0.9822205	0.9817264	0.9809948	0.9811326	0.9801432	0.9803061	0.9801986	0.9798693	0.9797236	0.9790203	0.9785629	0.9793782	0.979391	0.9798331	0.9802399	0.9803753	0.98073	0.9810297	0.9807981	0.9823837	0.98344	0.9810838	0.9803501	0.9813517	0.9780541
0.9667759	0.9660774	0.9647908	0.9638801	0.9618594	0.9619303	0.960689	0.9592332	0.9593102	0.9570438	0.9571906	0.9569152	0.9561759	0.9559237	0.954274	0.953437	0.9554312	0.9555022	0.95613	0.9573649	0.957476	0.9588775	0.9600894	0.9601791	0.9639318	0.9671344	0.9640976	0.9633886	0.9652465	0.9617759
0.9472596	0.9460402	0.9441027	0.942224	0.9389097	0.9388323	0.9369361	0.9345086	0.9344338	0.9308612	0.9309375	0.9304783	0.9290718	0.9286298	0.9260828	0.9249622	0.9277146	0.9281061	0.929022	0.9312528	0.9316391	0.9341725	0.9364959	0.9373673	0.9435439	0.9505671	0.9459889	0.9454124	0.9496105	0.948936
0.925732	0.9237839	0.9208036	0.9181853	0.9135315	0.9132426	0.9102536	0.9070571	0.9065527	0.9016254	0.9015934	0.90095	0.8988672	0.8981352	0.8946813	0.8932871	0.8968185	0.8974171	0.8989622	0.9020751	0.9028093	0.906283	0.9100533	0.9119198	0.9212298	0.9307869	0.9261887	0.9260863	0.9332049	0.9331827
0.9023275	0.8995738	0.8956063	0.8918773	0.885766	0.8851157	0.8811357	0.8770086	0.8761463	0.8697003	0.8693811	0.8686281	0.8656744	0.8647271	0.8604348	0.8586147	0.8629296	0.8637369	0.8661571	0.8702468	0.8713659	0.8761109	0.8813387	0.8842267	0.8977442	0.9094298	0.9043411	0.9052229	0.9161604	0.9158463
0.8770587	0.8734757	0.8684511	0.8635395	0.8559607	0.8548916	0.8498471	0.8447068	0.8435065	0.8353688	0.8348268	0.8337237	0.8299847	0.8288462	0.8236003	0.8213244	0.8264532	0.8275263	0.8308142	0.8360858	0.8375059	0.8433363	0.8502895	0.8547369	0.8718271	0.8864627	0.8806887	0.8823642	0.8976943	0.8984866
0.8501866	0.8455905	0.8393856	0.8334021	0.8243218	0.8227966	0.8167895	0.8106037	0.8089378	0.7992976	0.7983419	0.7968212	0.7922348	0.7909392	0.7849188	0.7821824	0.7880964	0.7892894	0.7934637	0.7998731	0.8018003	0.8086471	0.8172671	0.8232469	0.8440838	0.8621098	0.8557504	0.8579832	0.8782977	0.8796781
0.8219547	0.8163163	0.8089039	0.8018211	0.7912735	0.7893806	0.7821853	0.7750768	0.7729275	0.7616553	0.7604	0.7585861	0.7530779	0.7517323	0.7448283	0.7417914	0.7483536	0.7496579	0.7546153	0.762266	0.7644585	0.7723435	0.7826009	0.7902679	0.8148495	0.8363647	0.8295745	0.8324437	0.858021	0.8605298
0.7925306	0.7860301	0.7774001	0.7691336	0.757094	0.7548837	0.7463984	0.7384294	0.735895	0.7231461	0.7214805	0.7192988	0.7131345	0.7114702	0.7039792	0.7003725	0.7077943	0.7090394	0.7148582	0.7237023	0.7262787	0.7352065	0.7469324	0.7561188	0.7846997	0.8095807	0.8026634	0.8061013	0.8370858	0.8398765
